Userid,Sentence,Date,Emotion
1,im feeling quite sad and sorry for myself but ill snap out of it soon,2023-09-09,sadness
1,i feel like i am still looking at a blank canvas blank pieces of paper,2023-07-13,sadness
1,i feel like a faithful servant,2024-04-14,love
1,i am just feeling cranky and blue,2024-01-22,anger
2,i can have for a treat or if i am feeling festive,2023-06-13,joy
2,i start to feel more appreciative of what god has done for me,2024-02-29,joy
2,i am feeling more confident that we will be able to take care of this baby,2023-01-02,joy
2,i feel incredibly lucky just to be able to talk to her,2023-04-10,joy
2,i feel less keen about the army every day,2024-01-07,joy
1,i feel dirty and ashamed for saying that,2023-08-02,sadness
1,i feel bitchy but not defeated yet,2023-11-23,anger
2,i was dribbling on mums coffee table looking out of the window and feeling very happy,2023-04-24,joy
2,i woke up often got up around am feeling pukey radiation and groggy,2023-11-20,sadness
1,i was feeling sentimental,2023-10-01,sadness
1,i walked out of there an hour and fifteen minutes later feeling like i had been beaten with a stick and then placed on the rack and stretched,2024-04-02,sadness
1,i never stop feeling thankful as to compare with others i considered myself lucky because i did not encounter ruthless pirates and i did not have to witness the slaughter of others,2023-07-10,joy
1,i didn t feel abused and quite honestly it made my day a little better,2024-03-04,sadness
1,i know what it feels like he stressed glaring down at her as she squeezed more soap onto her sponge,2023-10-21,anger
2,i also loved that you could really feel the desperation in these sequences and i especially liked the emotion between knight and squire as theyve been together in a similar fashion to batman and robin for a long time now,2023-06-09,love
2,i had lunch with an old friend and it was nice but in general im not feeling energetic,2023-03-26,joy
2,i just know to begin with i am going to feel shy about it,2023-01-19,fear
2,i feel try to tell me im ungrateful tell me im basically the worst daughter sister in the world,2023-10-13,sadness
2,i feel that it is something that will never really be resolved,2023-07-10,joy
2,i just feel like all my efforts are in vain and a waste of time,2024-03-20,sadness
2,i feel absolutely foolish for allowing myself to actually believe that this might be it for us the month weve been praying so hard for,2023-12-27,sadness
2,i waited for an eternity for it to download and now im remembering a day when i had to wait to go to walmart to buy a whole cd just to hear one song and feeling kinda dumb with my impatience,2024-03-29,sadness
2,i don t know if anybody will ever be able to feel how i feel or at least relate when everything is lost you find yourself missing and longing for it them,2023-08-12,sadness
2,i feel as if i am the beloved preparing herself for the wedding,2024-03-25,joy
2,i would feel i missed out on a wealth of treasures if i did not read,2023-04-10,sadness
2,i finished the film i feel kind of regretful that i wasnt able to catch this on the big screen,2023-08-23,sadness
2,i feel like im caring about my body not in just an attempt to be the right size but to feel good and have a full life,2023-08-29,love
2,i feel so damaged i just want you to have care of me continuer,,2023-05-17,sadness
2,i have found in the past when i blog daily i have more to say and i get out my feelings and emotions in more creative ways,2023-01-09,joy
2,i to candy factory it was clearly a tourist production line but it didn t feel unpleasant or hurried just well planned and professional an interesting and picturesque visit,2023-09-06,sadness
2,i feel that i m so pathetic and downright dumb to let people in let them toy with my feelings and then leaving me to clean up this pile of sadness inside me,2023-07-31,sadness
2,i am feeling very blessed today that they share such a close bond,2023-05-17,joy
2,i constantly feel these fits of discontent,2023-01-23,sadness
2,ive been consumed by guilt and other feelings of discontent,,2023-11-26,sadness
2,i feel like taking a whack at someone s eye and spitting on it a cranky old lady i try to cheer myself up,2023-03-26,anger
2,i feel really special and important,2023-11-01,joy
2,i sit the chicken preferably bone in chicken thighs skinless because i feel they have the most flavor in a crock pot so that it becomes tender and falls apart,2023-03-05,love
2,i feel empty and i wait for new signs,2023-12-15,sadness
2,i honestly do not feel discouraged today as i usually do,2023-03-13,sadness
2,i only feel such an aching rush if im hearing it,2024-02-02,sadness
1,i feel mmf and i cant be bothered to fight it,2023-02-18,anger
1,i cant sleep i switch on music if i need to wake up i switch on music if i feel morose music it is that comes to my rescue whenever i feel ecstatic the tunes are by my side if i want to meet my wild side hail music,2023-09-14,sadness
1,i feel so discontent with this decision,2023-10-27,sadness
1,i know it so difficult especially when you feel you have been wronged,2023-04-15,anger
1,i see the starlight caress your hair no more feel the tender kisses we used to share i close my eyes and clearly my heart remembers a thousand good byes could never put out the embers,2023-04-18,love
2,i hope i m proved wrong but i can t see the england u international hitting double figures next season and unless they invest in the rest of the team to provide him with service i feel they re doomed,2023-10-11,sadness
2,i could smell the chlorine feel my aching muscles see my portly mustached coach and prepubescent teammates and hear the whistles and hollers from the parents in the stands,2023-02-26,sadness
1,i have a feeling hes going to be way more successful than i am,2023-11-02,joy
1,i love this song and it always makes me feel happy,2024-01-31,joy
1,i everyone this will be a bit of a brief post as ive got a stinking cold at the moment and am feeling very very crappy but i have another page done on,2023-03-07,sadness
1,i feel a special draw toward and awed admiration for the firefighters who led the charge into the towers when everyone else was rushing out,2023-03-05,joy
2,i didn t feel accepted,2024-04-19,joy
1,i feel sometimes i am like heartless tin woodman sometimes like cowardly lion but i really want to believe there is a href http www,2024-04-15,anger
1,i just feel discouraged because the industry is enormous what makes me special in a sea of pretty girls,2023-05-07,sadness
1,i appeared in his office stony expression back on my face prepared to sever ties with the man while feeling heartbroken at the prospect,2024-01-29,sadness
2,i suppose a couple days of not feeling so hot is better than whooping cough the visit went really well,2023-01-03,love
2,i miss our talks our cuddling our kissing and the feelings that you can only share with your beloved,2023-03-07,love
1,i feel energetic and excited to see my results at the end of the week,2023-08-31,joy
1,i feel so shamed that i want to give up,2023-11-21,sadness
1,i feel perfect with you on facebook href http www,2023-12-11,joy
